state_abbr,county_name,hospital_name,city,wait_text,wait_minutes,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,source_url,scrape_ts
AK,Anchorage,673rd Medical Group (Joint Base Elmendorf-Richardson),Jber,1h 53m,113.0,https://www.hospitalstats.org/hospital-ratings/673rd-medical-group-joint-base-elmendorf-richardson-jber-ak.htm,673rd Medical Group (Joint Base Elmendorf-Richardson) Ratings,673 Mdg 5955 Zeamer Ave,Jber,AK,99506,(907) 384-1110,Acute Care - Department of Defense,YES,,,,,,,,1,,113,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00
AK,Anchorage,Alaska Native Medical Center,Anchorage,2h 13m,133.0,https://www.hospitalstats.org/hospital-ratings/alaska-native-medical-center-anchorage-ak.htm,Alaska Native Medical Center Ratings,4315 Diplomacy Dr,Anchorage,AK,99508,(907) 729-3971,Acute Care Hospitals,YES,2% worse,2.0,worse,12.0,15.9,12.3,17.4,6,2,133,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00
AK,Anchorage,Alaska Regional Hospital,Anchorage,2h 33m,153.0,https://www.hospitalstats.org/hospital-ratings/alaska-regional-hospital-anchorage-ak.htm,Alaska Regional Hospital Ratings,2801 Debarr Road,Anchorage,AK,99508,(907) 276-1131,Acute Care Hospitals,YES,6% better,6.0,better,12.6,11.8,10.1,19.0,13,0,153,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00
AK,Anchorage,Providence Alaska Medical Center,Anchorage,3h 12m,192.0,https://www.hospitalstats.org/hospital-ratings/providence-alaska-medical-center-anchorage-ak.htm,Providence Alaska Medical Center Ratings,3200 Providence Drive,Anchorage,AK,99508,(907) 562-2211,Acute Care Hospitals,YES,2% better,2.0,better,10.2,14.9,12.5,17.6,10,5,192,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00
AK,Anchorage,North Star Hospital,Anchorage,N/A,,https://www.hospitalstats.org/hospital-ratings/north-star-hospital-anchorage-ak.htm,North Star Hospital Ratings,2530 Debarr Rd,Anchorage,AK,99508,(907) 264-3526,Psychiatric,YES,,,,,,,,,,,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00
AK,Fairbanks North Star,Fairbanks Memorial Hospital,Fairbanks,2h 45m,165.0,https://www.hospitalstats.org/hospital-ratings/fairbanks-memorial-hospital-fairbanks-ak.htm,Fairbanks Memorial Hospital Ratings,1650 Cowles Street,Fairbanks,AK,99701,(907) 452-8181,Acute Care Hospitals,YES,24% worse,24.0,worse,12.4,20.4,16.3,25.6,4,1,165,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Fairbanks-North-Star-County-AK.htm,2025-10-18T16:58:36.863814+00:00
AK,Fairbanks North Star,Bassett Ach (Ft Wainwright),Fort Wainwright,2h 53m,173.0,https://www.hospitalstats.org/hospital-ratings/bassett-ach-ft-wainwright-fort-wainwright-ak.htm,Bassett Ach (Ft Wainwright) Ratings,4076 Neely Road,Fort Wainwright,AK,99703,(907) 361-4000,Acute Care - Department of Defense,YES,,,,,,,,0,,173,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/Fairbanks-North-Star-County-AK.htm,2025-10-18T16:58:36.863814+00:00
AK,Juneau,Bartlett Regional Hospital,Juneau,2h 46m,166.0,https://www.hospitalstats.org/hospital-ratings/bartlett-regional-hospital-juneau-ak.htm,Bartlett Regional Hospital Ratings,3260 Hospital Dr,Juneau,AK,99801,(907) 796-8900,Acute Care Hospitals,YES,9% better,9.0,better,,13.9,10.8,15.7,3,0,166,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Juneau-County-AK.htm,2025-10-18T16:58:38.796335+00:00
AK,Kenai Peninsula,Providence Seward Hospital,Seward,2h 12m,132.0,https://www.hospitalstats.org/hospital-ratings/providence-seward-hospital-seward-ak.htm,Providence Seward Hospital Ratings,"417 First Avenue, Po Box 365",Seward,AK,99664,(907) 224-5205,Critical Access Hospitals,YES,,,,,,,,,,132,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Kenai-Peninsula-County-AK.htm,2025-10-18T16:58:42.886492+00:00
AK,Kenai Peninsula,South Peninsula Hospital,Homer,2h 20m,140.0,https://www.hospitalstats.org/hospital-ratings/south-peninsula-hospital-homer-ak.htm,South Peninsula Hospital Ratings,4300 Bartlett St,Homer,AK,99603,(907) 235-8101,Critical Access Hospitals,YES,3% better,3.0,better,,,,17.7,,,140,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Kenai-Peninsula-County-AK.htm,2025-10-18T16:58:42.886492+00:00
AK,Kenai Peninsula,Central Peninsula General Hospital,Soldotna,2h 27m,147.0,https://www.hospitalstats.org/hospital-ratings/central-peninsula-general-hospital-soldotna-ak.htm,Central Peninsula General Hospital Ratings,250 Hospital Place,Soldotna,AK,99669,(907) 262-4404,Acute Care Hospitals,YES,8% worse,8.0,worse,,14.6,13.5,19.6,2,0,147,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Kenai-Peninsula-County-AK.htm,2025-10-18T16:58:42.886492+00:00
AK,Ketchikan Gateway,Peacehealth Ketchikan Medical Center,Ketchikan,2h 1m,121.0,https://www.hospitalstats.org/hospital-ratings/peacehealth-ketchikan-medical-center-ketchikan-ak.htm,Peacehealth Ketchikan Medical Center Ratings,3100 Tongass Avenue,Ketchikan,AK,99901,(907) 225-5171,Critical Access Hospitals,YES,13% better,13.0,better,,,,16.1,0,0,121,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/Ketchikan-Gateway-County-AK.htm,2025-10-18T16:58:44.782134+00:00
AK,Matanuska Susitna,Mat-Su Regional Medical Center,Palmer,2h 10m,130.0,https://www.hospitalstats.org/hospital-ratings/mat-su-regional-medical-center-palmer-ak.htm,Mat-Su Regional Medical Center Ratings,2500 South Woodworth Loop,Palmer,AK,99645,(907) 861-6000,Acute Care Hospitals,YES,11% worse,11.0,worse,15.2,13.5,15.4,19.3,0,0,130,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Matanuska-Susitna-County-AK.htm,2025-10-18T16:58:47.744045+00:00
AK,Valdez Cordova,Cordova Community Medical Center,Cordova,1h 46m,106.0,https://www.hospitalstats.org/hospital-ratings/cordova-community-medical-center-cordova-ak.htm,Cordova Community Medical Center Ratings,Po Box 160 - 602 Chase Avenue,Cordova,AK,99574,(907) 424-8000,Critical Access Hospitals,YES,,,,,,,,,,106,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Valdez-Cordova-County-AK.htm,2025-10-18T16:58:52.685917+00:00
AK,Valdez Cordova,Providence Valdez Medical Center,Valdez,2h 46m,166.0,https://www.hospitalstats.org/hospital-ratings/providence-valdez-medical-center-valdez-ak.htm,Providence Valdez Medical Center Ratings,Po Box 550,Valdez,AK,99686,(907) 835-2249,Critical Access Hospitals,YES,,,,,,,,,,166,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Valdez-Cordova-County-AK.htm,2025-10-18T16:58:52.685917+00:00
AL,Autauga,Prattville Baptist Hospital,Prattville,3h 18m,198.0,https://www.hospitalstats.org/hospital-ratings/prattville-baptist-hospital-prattville-al.htm,Prattville Baptist Hospital Ratings,124 S Memorial Dr,Prattville,AL,36067,(334) 361-4267,Acute Care Hospitals,YES,2% better,2.0,better,,12.4,13.1,17.7,1,0,198,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Autauga-County-AL.htm,2025-10-18T16:58:54.662039+00:00
AL,Baldwin,South Baldwin Regional Medical Center,Foley,2h 32m,152.0,https://www.hospitalstats.org/hospital-ratings/south-baldwin-regional-medical-center-foley-al.htm,South Baldwin Regional Medical Center Ratings,1613 North Mckenzie Street,Foley,AL,36535,(251) 949-3400,Acute Care Hospitals,YES,4% worse,4.0,worse,12.6,14.7,11.7,19.8,3,0,152,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Baldwin-County-AL.htm,2025-10-18T16:58:58.575237+00:00
AL,Baldwin,North Baldwin Infirmary,Bay Minette,2h 54m,174.0,https://www.hospitalstats.org/hospital-ratings/north-baldwin-infirmary-bay-minette-al.htm,North Baldwin Infirmary Ratings,1815 Hand Avenue,Bay Minette,AL,36507,(251) 937-5521,Acute Care Hospitals,YES,15% worse,15.0,worse,,,12.5,22.8,0,0,174,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Baldwin-County-AL.htm,2025-10-18T16:58:58.575237+00:00
AL,Baldwin,Thomas Hospital,Fairhope,3h 3m,183.0,https://www.hospitalstats.org/hospital-ratings/thomas-hospital-fairhope-al.htm,Thomas Hospital Ratings,750 Morphy Avenue,Fairhope,AL,36532,(251) 928-2375,Acute Care Hospitals,YES,5% worse,5.0,worse,12.9,13.2,13.0,20.3,4,1,183,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Baldwin-County-AL.htm,2025-10-18T16:58:58.575237+00:00
AL,Barbour,Medical Center Barbour,Eufaula,2h 59m,179.0,https://www.hospitalstats.org/hospital-ratings/medical-center-barbour-eufaula-al.htm,Medical Center Barbour Ratings,820 W Washington St,Eufaula,AL,36027,(334) 688-7271,Acute Care Hospitals,YES,7% worse,7.0,worse,,,12.6,19.7,0,0,179,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Barbour-County-AL.htm,2025-10-18T16:59:00.506273+00:00
AL,Bibb,Bibb Medical Center,Centreville,2h 1m,121.0,https://www.hospitalstats.org/hospital-ratings/bibb-medical-center-centreville-al.htm,Bibb Medical Center Ratings,208 Pierson Ave,Centreville,AL,35042,(205) 926-4881,Acute Care Hospitals,YES,,,,,,,,1,0,121,POOR,Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Bibb-County-AL.htm,2025-10-18T16:59:02.490439+00:00
AL,Bullock,Bullock County Hospital,Union Springs,1h 52m,112.0,https://www.hospitalstats.org/hospital-ratings/bullock-county-hospital-union-springs-al.htm,Bullock County Hospital Ratings,102 West Conecuh Avenue,Union Springs,AL,36089,(334) 738-2140,Acute Care Hospitals,YES,,,,,,,,0,0,112,POOR,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Bullock-County-AL.htm,2025-10-18T16:59:05.370551+00:00
AL,Butler,The Health Care Authority Of The City Of Greenville- Lv Stabler Hospital,Greenville,2h 38m,158.0,https://www.hospitalstats.org/hospital-ratings/the-health-care-authority-of-the-city-of-greenville-lv-stabler-hospital-greenville-al.htm,The Health Care Authority Of The City Of Greenville- Lv Stabler Hospital Ratings,29 L V Stabler Drive,Greenville,AL,36037,(334) 382-2200,Acute Care Hospitals,YES,,,,,,,,0,1,158,POOR,Nurses usually take time to communicate well; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Butler-County-AL.htm,2025-10-18T16:59:07.308644+00:00
AL,Calhoun,Northeast Alabama Regional Medical Center,Anniston,3h 21m,201.0,https://www.hospitalstats.org/hospital-ratings/northeast-alabama-regional-medical-center-anniston-al.htm,Northeast Alabama Regional Medical Center Ratings,400 East 10th Street,Anniston,AL,36207,(256) 235-5121,Acute Care Hospitals,YES,1% better,1.0,better,11.3,14.2,11.3,19.3,46,5,201,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Calhoun-County-AL.htm,2025-10-18T16:59:09.202352+00:00
AL,Chambers,Eamc-Lanier,Valley,2h 0m,120.0,https://www.hospitalstats.org/hospital-ratings/eamc-lanier-valley-al.htm,Eamc-Lanier Ratings,4800 48th Street,Valley,AL,36854,(334) 756-9180,Acute Care Hospitals,YES,,,,,,,,0,0,120,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Chambers-County-AL.htm,2025-10-18T16:59:11.126577+00:00
AL,Cherokee,Cherokee Medical Center,Centre,2h 21m,141.0,https://www.hospitalstats.org/hospital-ratings/cherokee-medical-center-centre-al.htm,Cherokee Medical Center Ratings,400 Northwood Dr,Centre,AL,35960,(256) 927-5531,Acute Care Hospitals,YES,10% better,10.0,better,,,,16.5,0,1,141,POOR,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Cherokee-County-AL.htm,2025-10-18T16:59:13.040207+00:00
AL,Chilton,St Vincent's Chilton,Clanton,2h 19m,139.0,https://www.hospitalstats.org/hospital-ratings/st-vincents-chilton-clanton-al.htm,St Vincent's Chilton Ratings,2030 Lay Dam Road,Clanton,AL,35045,(205) 258-4400,Acute Care Hospitals,YES,1% worse,1.0,worse,,,,18.3,1,0,139,VERY GOOD,Rooms and facilities are usually clean; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Chilton-County-AL.htm,2025-10-18T16:59:15.155549+00:00
AL,Clarke,Grove Hill Memorial Hospital,Grove Hill,1h 54m,114.0,https://www.hospitalstats.org/hospital-ratings/grove-hill-memorial-hospital-grove-hill-al.htm,Grove Hill Memorial Hospital Ratings,295 Jackson Hwy S,Grove Hill,AL,36451,(251) 275-3191,Acute Care Hospitals,YES,,,,,,,,0,0,114,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Clarke-County-AL.htm,2025-10-18T16:59:19.287870+00:00
