provider_ccn,provider_org_name,provider_city,provider_street_address,provider_state_fips,provider_zip5,provider_state_abbreviation,provider_ruca_code,provider_ruca_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",14,663764.36,120219.93,115544.14
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,26,180980.88,37321.04,35261.81
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,12,105824.33,26936.67,25048.92
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,16,242539.5,34745.38,32438.62
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",38,EXTRACRANIAL PROCEDURES WITH CC,11,122741.18,14999.82,9579.36
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,36,97502.31,8650.56,6603.94
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,15,37649.73,8522.47,6913.67
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,62,57328.34,14155.06,12187.58
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,59,29571.05,7746.41,5414.42
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,34,22861.68,6334.82,4481.53
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,12,61524.0,15649.58,14071.0
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,14,30469.29,7549.86,5802.79
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",100,SEIZURES WITH MCC,15,102781.47,19159.07,13933.07
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",101,SEIZURES WITHOUT MCC,13,21045.31,6999.54,5354.85
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",163,MAJOR CHEST PROCEDURES WITH MCC,11,111537.73,30828.45,28987.36
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,13,138591.23,25861.69,23853.23
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,84,52340.15,12973.3,10863.85
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,16,23458.25,8819.88,6406.88
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",180,RESPIRATORY NEOPLASMS WITH MCC,13,39182.23,13426.62,7565.46
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,31,46753.0,9668.68,8075.71
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,19,47135.32,8776.79,5914.68
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,67,46622.6,9772.91,7650.33
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",202,BRONCHITIS AND ASTHMA WITH CC/MCC,11,44866.09,7605.36,5231.09
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,15,252022.93,46819.67,36770.87
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,15,93157.47,20260.87,18529.4
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,17,300126.35,43741.94,41545.65
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,22,205288.59,31781.09,29661.77
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,18,107121.94,23482.11,21905.11
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,20,73876.15,16374.65,14620.95
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,11,86284.91,17447.09,10515.55
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,20,103128.55,22141.55,18276.95
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,28,87888.5,15655.86,10519.11
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",252,OTHER VASCULAR PROCEDURES WITH MCC,11,110353.91,23739.55,22113.18
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,38,144547.11,32988.34,30343.16
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,17,114961.24,27824.29,25809.0
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,34,122425.85,22516.91,20548.29
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",100,40404.97,11574.99,9987.77
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",44,27909.3,7252.98,5231.02
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",15,73534.67,13913.07,12723.6
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",19,47840.84,14748.05,13061.68
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",17,31160.24,7688.82,6299.12
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",291,HEART FAILURE AND SHOCK WITH MCC,240,37792.95,9564.67,7821.88
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",305,HYPERTENSION WITHOUT MCC,24,17377.29,5883.58,4133.46
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,33,30824.82,8499.91,7298.94
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,50,18843.84,6529.9,3936.02
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,22,13580.36,4720.0,2788.82
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",312,SYNCOPE AND COLLAPSE,28,22854.14,6675.21,5301.71
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,19,204144.05,34254.74,32291.63
