geo_level,geo_code,geo_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2028,1531532.34,332916.49,281516.35
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,49,605138.22,142682.35,112367.69
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",10378,988234.82,212347.98,183920.23
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",9109,580080.1,123247.52,107486.38
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1214,791668.95,156264.14,123813.63
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,279,427658.65,70857.86,46358.24
National,,National,007,LUNG TRANSPLANT,578,1021394.52,180804.53,134987.81
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,214,529589.0,87154.73,58666.24
National,,National,010,PANCREAS TRANSPLANT,19,532384.79,104545.21,55300.11
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1688,260587.72,58534.13,48332.82
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1536,218126.63,46216.52,36383.84
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",323,134522.74,30422.24,23722.47
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1230,601215.84,148366.2,119498.87
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,1725,270096.6,69564.38,54944.69
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,26,322136.19,44670.15,35137.35
National,,National,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,1563,1983100.93,439847.67,416655.58
National,,National,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,64,721198.09,96467.31,68660.94
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,2386,392310.84,94745.39,81190.67
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,648,249491.88,66637.62,56359.03
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,326,152895.05,38573.19,34801.17
