geo_level,geo_code,geo_description,service_level,apc_code,apc_description,hcpcs_code,hcpcs_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
National,,National,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,316770,334117,10679.63,1476.38,1170.01,1246,5783.28
National,,National,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,116917,130348,19660.38,2539.55,2015.59,2279,4981.07
National,,National,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,49031,50944,25917.24,3440.52,2732.32,760,4247.11
National,,National,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,52080,52305,43370.74,5906.32,4695.79,2595,3765.36
National,,National,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,4547,4670,65914.67,8801.57,7205.64,689,4897.28
National,,National,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,2985,3076,107119.68,16571.78,14971.0,339,4077.95
National,,National,APC,5112,Level 2 Musculoskeletal Procedures,,,76275,79810,11720.22,1398.39,1106.15,176,5504.0
National,,National,APC,5113,Level 3 Musculoskeletal Procedures,,,114487,116931,22380.96,2870.31,2273.18,1293,4801.65
National,,National,APC,5114,Level 4 Musculoskeletal Procedures,,,171951,174110,43414.34,6439.71,5118.07,5430,3825.6
National,,National,APC,5115,Level 5 Musculoskeletal Procedures,,,414182,429097,71283.29,12720.94,11121.27,10583,2626.93
National,,National,APC,5116,Level 6 Musculoskeletal Procedures,,,18851,19081,112448.69,20933.79,19333.43,807,4887.43
National,,National,APC,5153,Level 3 Airway Endoscopy,,,33901,39342,12270.16,1566.97,1243.1,188,5742.54
National,,National,APC,5154,Level 4 Airway Endoscopy,,,54075,57996,25194.3,3293.97,2614.06,1062,4359.27
National,,National,APC,5155,Level 5 Airway Endoscopy,,,32446,32837,43285.23,6111.63,4861.18,1883,3673.37
National,,National,APC,5163,Level 3 ENT Procedures,,,6832,8014,9264.15,1323.62,1047.05,34,6961.48
National,,National,APC,5164,Level 4 ENT Procedures,,,12896,13293,20908.31,2731.49,2164.1,205,5111.32
National,,National,APC,5165,Level 5 ENT Procedures,,,36895,37233,38686.88,5277.86,4189.98,1952,4407.69
National,,National,APC,5166,Cochlear Implant Procedure,,,4021,4083,129460.95,32337.4,30709.57,40,9032.42
National,,National,APC,5182,Level 2 Vascular Procedures,,,63607,66834,9687.64,1456.96,1153.74,657,6680.02
National,,National,APC,5183,Level 3 Vascular Procedures,,,177041,187143,20316.46,2924.06,2319.91,2282,5718.23
National,,National,APC,5184,Level 4 Vascular Procedures,,,50164,55061,38889.16,4856.59,3854.03,3119,5035.53
National,,National,APC,5191,Level 1 Endovascular Procedures,,,288427,290031,27162.78,2901.01,2028.58,2192,4515.7
National,,National,APC,5192,Level 2 Endovascular Procedures,,,62615,70846,35439.88,5159.3,4094.0,1782,4030.54
National,,National,APC,5193,Level 3 Endovascular Procedures,,,134599,145147,75564.17,10359.4,8770.69,13516,3028.55
National,,National,APC,5194,Level 4 Endovascular Procedures,,,34519,35899,104747.28,16873.91,15279.67,2107,3929.14
National,,National,APC,5200,Implantation Wireless PA Pressure Monitor,,,2527,2532,141465.5,27437.53,25837.02,26,6684.59
National,,National,APC,5211,Level 1 Electrophysiologic Procedures,,,238,239,14619.72,1085.71,859.57,0,
National,,National,APC,5212,Level 2 Electrophysiologic Procedures,,,6773,6834,50089.5,6612.46,5263.1,407,4412.78
National,,National,APC,5213,Level 3 Electrophysiologic Procedures,,,95133,96827,145945.44,23348.73,21746.36,3078,3202.14
National,,National,APC,5222,Level 2 Pacemaker and Similar Procedures,,,35086,35182,42655.59,8079.78,6517.4,406,3675.92
National,,National,APC,5223,Level 3 Pacemaker and Similar Procedures,,,67979,68039,58049.87,10207.7,8605.58,1587,2755.13
National,,National,APC,5224,Level 4 Pacemaker and Similar Procedures,,,11325,11337,100981.6,18255.46,16653.97,341,2596.07
National,,National,APC,5231,Level 1 ICD and Similar Procedures,,,5905,5913,116425.95,22416.84,20812.87,128,4517.22
National,,National,APC,5232,Level 2 ICD and Similar Procedures,,,29229,29303,163692.4,31338.77,29736.17,653,5582.71
National,,National,APC,5244,Level 4 Blood Product Exchange and Related Services,,,62,62,198833.63,47000.11,45400.11,0,
National,,National,APC,5302,Level 2 Upper GI Procedures,,,184868,206005,12751.37,1718.54,1366.83,544,5564.67
National,,National,APC,5303,Level 3 Upper GI Procedures,,,24135,26031,21793.26,3090.12,2452.97,313,4243.61
National,,National,APC,5313,Level 3 Lower GI Procedures,,,35936,36825,18116.0,2555.28,2050.48,138,5058.72
National,,National,APC,5331,Complex GI Procedures,,,21190,25012,32047.39,5120.16,4067.37,702,3927.1
National,,National,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,73242,78369,25561.04,3515.34,2786.29,1636,4781.22
National,,National,APC,5361,Level 1 Laparoscopy and Related Services,,,156115,157072,38039.54,5115.26,4054.73,4472,3926.19
National,,National,APC,5362,Level 2 Laparoscopy and Related Services,,,84487,84720,64420.14,8954.03,7352.78,7934,3092.32
National,,National,APC,5372,Level 2 Urology and Related Services,,,128532,195699,3121.26,605.68,476.18,228,6617.9
National,,National,APC,5373,Level 3 Urology and Related Services,,,144685,174983,12473.49,1812.68,1436.28,386,5942.3
National,,National,APC,5374,Level 4 Urology and Related Services,,,143919,162735,22225.32,3148.2,2498.1,878,4572.67
National,,National,APC,5375,Level 5 Urology and Related Services,,,141797,149830,31005.41,4649.29,3690.52,2143,4397.37
National,,National,APC,5376,Level 6 Urology and Related Services,,,19695,19924,46671.75,8490.84,6901.8,506,3375.6
National,,National,APC,5377,Level 7 Urology and Related Services,,,1009,1018,62371.76,11698.02,10098.11,13,1387.91
National,,National,APC,5378,Level 8 Urology and Related Services,,,7176,7262,95901.24,18788.81,17188.15,74,3334.58
National,,National,APC,5414,Level 4 Gynecologic Procedures,,,41230,41729,19941.68,2805.79,2222.91,113,4587.98
National,,National,APC,5415,Level 5 Gynecologic Procedures,,,20460,21231,33076.4,4566.24,3619.11,565,4638.87
National,,National,APC,5416,Level 6 Gynecologic Procedures,,,8889,8985,48284.04,6895.47,5486.0,406,4234.2
National,,National,APC,5431,Level 1 Nerve Procedures,,,113495,132601,11993.82,1712.84,1355.6,523,5530.32
National,,National,APC,5432,Level 2 Nerve Procedures,,,2644,2751,41225.23,5928.89,4704.37,234,4768.34
National,,National,APC,5461,Level 1 Neurostimulator and Related Procedures,,,5138,5245,27209.58,3069.74,2429.66,237,5919.97
National,,National,APC,5462,Level 2 Neurostimulator and Related Procedures,,,13587,15659,30790.34,5848.84,4651.32,484,4725.92
National,,National,APC,5463,Level 3 Neurostimulator and Related Procedures,,,1841,1873,83403.94,11842.11,10258.99,388,4770.42
National,,National,APC,5464,Level 4 Neurostimulator and Related Procedures,,,14634,15126,92612.13,20582.17,18981.08,339,6030.84
National,,National,APC,5465,Level 5 Neurostimulator and Related Procedures,,,21410,21620,133522.3,28052.72,26450.14,450,9591.55
National,,National,APC,5471,Implantation of Drug Infusion Device,,,3289,3322,80776.35,16111.57,14510.3,53,3609.65
National,,National,APC,5491,Level 1 Intraocular Procedures,,,202203,301272,12639.88,2122.3,1683.11,235,5116.32
National,,National,APC,5492,Level 2 Intraocular Procedures,,,50816,55697,25133.02,3982.79,3160.9,665,4149.27
National,,National,APC,5493,Level 3 Intraocular Procedures,,,396,417,41418.9,7281.83,5845.03,45,4801.33
National,,National,APC,5494,Level 4 Intraocular Procedures,,,59,65,60100.68,16767.54,15192.15,0,
National,,National,APC,5495,Level 5 Intraocular Procedures,,,33,33,28902.28,17580.36,16003.05,0,0.0
National,,National,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,24090,34841,10843.58,1509.05,1197.63,183,5319.91
National,,National,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,4417,4579,24604.87,3512.49,2788.8,101,4557.89
National,,National,APC,5627,Level 7 Radiation Therapy,,,8205,9045,76150.02,7730.54,6223.47,2623,5199.87
National,,National,APC,5881,Ancillary Outpatient Services When Patient Dies,,,287,287,102675.47,11808.68,10220.06,82,6283.54
National,,National,APC,8011,Comprehensive Observation Services,,,795392,864077,22845.99,2421.76,1972.84,8734,4893.34
State,01,Alabama,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,4562,5086,10637.42,1287.64,1017.44,0,
State,01,Alabama,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,1260,1302,19515.62,2172.61,1714.33,0,
State,01,Alabama,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,689,702,26702.45,2958.82,2340.89,0,
State,01,Alabama,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,699,701,46774.2,5090.26,4023.59,0,
State,01,Alabama,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,55,56,55557.28,7486.1,5924.61,0,
State,01,Alabama,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,40,42,137374.74,13104.38,11496.86,0,
State,01,Alabama,APC,5112,Level 2 Musculoskeletal Procedures,,,1062,1094,17751.15,1216.03,956.85,0,0.0
State,01,Alabama,APC,5113,Level 3 Musculoskeletal Procedures,,,2202,2242,31341.75,2438.88,1918.47,0,
State,01,Alabama,APC,5114,Level 4 Musculoskeletal Procedures,,,3511,3560,49974.4,5566.13,4388.47,12,4499.84
State,01,Alabama,APC,5115,Level 5 Musculoskeletal Procedures,,,6891,7081,77728.88,11119.86,9518.29,18,1385.31
State,01,Alabama,APC,5116,Level 6 Musculoskeletal Procedures,,,441,448,102726.73,18337.67,16737.13,0,
State,01,Alabama,APC,5153,Level 3 Airway Endoscopy,,,721,887,12110.2,1376.31,1089.26,0,
State,01,Alabama,APC,5154,Level 4 Airway Endoscopy,,,759,817,27907.14,2812.34,2218.14,22,5048.86
State,01,Alabama,APC,5155,Level 5 Airway Endoscopy,,,451,455,48426.14,5183.84,4091.61,0,
State,01,Alabama,APC,5163,Level 3 ENT Procedures,,,113,119,15351.64,1136.05,884.01,0,0.0
State,01,Alabama,APC,5164,Level 4 ENT Procedures,,,231,245,28884.56,2415.09,1908.84,0,
State,01,Alabama,APC,5165,Level 5 ENT Procedures,,,612,620,39197.58,4567.12,3613.81,0,
State,01,Alabama,APC,5166,Cochlear Implant Procedure,,,55,56,123671.46,29051.03,27451.03,0,0.0
State,01,Alabama,APC,5182,Level 2 Vascular Procedures,,,1206,1310,9053.38,1279.76,1009.2,0,
State,01,Alabama,APC,5183,Level 3 Vascular Procedures,,,2789,3036,22243.36,2534.54,2000.35,19,4710.6
State,01,Alabama,APC,5184,Level 4 Vascular Procedures,,,1065,1173,33541.86,4347.67,3437.63,0,
State,01,Alabama,APC,5191,Level 1 Endovascular Procedures,,,6155,6186,27846.49,2546.49,1768.12,12,7128.22
State,01,Alabama,APC,5192,Level 2 Endovascular Procedures,,,857,912,36638.16,4482.91,3546.28,0,
State,01,Alabama,APC,5193,Level 3 Endovascular Procedures,,,2524,2702,77944.3,9008.4,7418.59,77,2611.44
State,01,Alabama,APC,5194,Level 4 Endovascular Procedures,,,510,525,100892.64,14697.73,13101.34,19,1625.48
State,01,Alabama,APC,5200,Implantation Wireless PA Pressure Monitor,,,0,0,,,,0,
State,01,Alabama,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,01,Alabama,APC,5212,Level 2 Electrophysiologic Procedures,,,76,76,60628.45,5620.55,4424.88,0,
State,01,Alabama,APC,5213,Level 3 Electrophysiologic Procedures,,,1644,1685,175029.83,19901.61,18298.69,96,3631.38
State,01,Alabama,APC,5222,Level 2 Pacemaker and Similar Procedures,,,444,447,51801.24,7025.86,5556.22,0,
State,01,Alabama,APC,5223,Level 3 Pacemaker and Similar Procedures,,,1306,1307,69504.75,8903.27,7300.25,0,
State,01,Alabama,APC,5224,Level 4 Pacemaker and Similar Procedures,,,214,214,116342.88,16168.96,14570.62,13,4095.4
State,01,Alabama,APC,5231,Level 1 ICD and Similar Procedures,,,110,110,140445.83,19111.18,17505.66,0,
State,01,Alabama,APC,5232,Level 2 ICD and Similar Procedures,,,481,482,194778.15,27101.2,25496.33,0,
State,01,Alabama,APC,5302,Level 2 Upper GI Procedures,,,4082,4475,15616.54,1494.71,1181.92,0,
State,01,Alabama,APC,5303,Level 3 Upper GI Procedures,,,303,307,28652.38,2756.01,2177.59,0,
State,01,Alabama,APC,5313,Level 3 Lower GI Procedures,,,428,439,23239.35,2167.13,1718.94,0,0.0
State,01,Alabama,APC,5331,Complex GI Procedures,,,251,283,41329.46,4346.23,3441.75,0,
State,01,Alabama,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,851,884,31122.68,3026.5,2392.8,0,
State,01,Alabama,APC,5361,Level 1 Laparoscopy and Related Services,,,2682,2698,41448.02,4397.97,3461.85,15,7009.99
State,01,Alabama,APC,5362,Level 2 Laparoscopy and Related Services,,,1174,1179,68784.18,7710.45,6108.7,32,2426.92
State,01,Alabama,APC,5372,Level 2 Urology and Related Services,,,1461,1829,2969.98,518.56,408.49,0,
State,01,Alabama,APC,5373,Level 3 Urology and Related Services,,,1888,2155,15013.33,1579.03,1245.72,0,0.0
State,01,Alabama,APC,5374,Level 4 Urology and Related Services,,,2510,2793,30141.25,2730.95,2153.74,0,0.0
State,01,Alabama,APC,5375,Level 5 Urology and Related Services,,,1907,2016,31542.5,4047.03,3199.64,0,
State,01,Alabama,APC,5376,Level 6 Urology and Related Services,,,227,235,44816.41,7419.54,5879.68,0,
State,01,Alabama,APC,5377,Level 7 Urology and Related Services,,,27,27,85403.53,9566.22,7959.76,0,0.0
State,01,Alabama,APC,5378,Level 8 Urology and Related Services,,,164,165,106239.43,15599.68,14002.84,0,
State,01,Alabama,APC,5414,Level 4 Gynecologic Procedures,,,410,414,24391.85,2411.51,1897.45,0,
State,01,Alabama,APC,5415,Level 5 Gynecologic Procedures,,,321,322,36286.26,3939.96,3105.33,0,
State,01,Alabama,APC,5416,Level 6 Gynecologic Procedures,,,179,180,44422.05,6026.77,4771.81,0,
State,01,Alabama,APC,5431,Level 1 Nerve Procedures,,,1610,1775,16615.91,1501.32,1180.61,0,
State,01,Alabama,APC,5432,Level 2 Nerve Procedures,,,29,29,41932.18,5024.82,3914.77,0,
State,01,Alabama,APC,5461,Level 1 Neurostimulator and Related Procedures,,,84,85,44386.25,2755.79,2177.19,0,
State,01,Alabama,APC,5462,Level 2 Neurostimulator and Related Procedures,,,224,254,29739.54,5232.31,4137.86,0,0.0
State,01,Alabama,APC,5463,Level 3 Neurostimulator and Related Procedures,,,11,11,56492.57,9966.77,8439.49,0,
State,01,Alabama,APC,5464,Level 4 Neurostimulator and Related Procedures,,,296,308,89242.68,18361.72,16761.72,0,
State,01,Alabama,APC,5465,Level 5 Neurostimulator and Related Procedures,,,347,352,156348.61,24441.29,22839.1,0,0.0
State,01,Alabama,APC,5471,Implantation of Drug Infusion Device,,,24,24,86854.56,12946.89,11346.89,0,0.0
State,01,Alabama,APC,5491,Level 1 Intraocular Procedures,,,3837,5941,9326.34,1813.79,1432.04,0,0.0
State,01,Alabama,APC,5492,Level 2 Intraocular Procedures,,,1291,1451,18237.4,3396.16,2687.12,0,0.0
State,01,Alabama,APC,5493,Level 3 Intraocular Procedures,,,0,0,,,,0,
State,01,Alabama,APC,5494,Level 4 Intraocular Procedures,,,0,0,,,,0,
State,01,Alabama,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,551,561,8989.55,1832.9,1453.71,0,0.0
State,01,Alabama,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,84,84,11281.85,3002.25,2379.21,0,0.0
State,01,Alabama,APC,5627,Level 7 Radiation Therapy,,,103,110,44959.28,6654.62,5282.22,0,
State,01,Alabama,APC,5881,Ancillary Outpatient Services When Patient Dies,,,0,0,,,,0,
State,01,Alabama,APC,8011,Comprehensive Observation Services,,,8404,8910,16376.73,2080.8,1652.1,11,4461.52
State,02,Alaska,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,728,753,11389.25,1650.7,1308.07,0,
State,02,Alaska,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,140,141,20302.62,2874.91,2280.23,0,0.0
State,02,Alaska,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,94,95,25326.54,3847.94,3065.83,0,0.0
State,02,Alaska,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,125,126,45466.54,6614.0,5261.3,0,
State,02,Alaska,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5112,Level 2 Musculoskeletal Procedures,,,178,185,11662.33,1600.3,1266.4,0,
State,02,Alaska,APC,5113,Level 3 Musculoskeletal Procedures,,,232,232,21765.98,3334.28,2647.18,0,
State,02,Alaska,APC,5114,Level 4 Musculoskeletal Procedures,,,372,373,60550.29,7521.04,5970.57,11,2404.74
State,02,Alaska,APC,5115,Level 5 Musculoskeletal Procedures,,,1145,1188,150349.39,14534.65,12934.44,161,6262.82
State,02,Alaska,APC,5116,Level 6 Musculoskeletal Procedures,,,30,30,195585.36,24221.58,22621.58,0,
State,02,Alaska,APC,5153,Level 3 Airway Endoscopy,,,40,42,17165.24,1730.96,1361.2,0,0.0
State,02,Alaska,APC,5154,Level 4 Airway Endoscopy,,,98,101,34265.69,3545.83,2819.26,0,0.0
State,02,Alaska,APC,5155,Level 5 Airway Endoscopy,,,24,24,49880.96,6402.56,5055.35,0,0.0
State,02,Alaska,APC,5163,Level 3 ENT Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5164,Level 4 ENT Procedures,,,28,28,23142.38,2955.15,2330.79,0,0.0
State,02,Alaska,APC,5165,Level 5 ENT Procedures,,,39,42,46819.38,5882.46,4686.83,0,
State,02,Alaska,APC,5166,Cochlear Implant Procedure,,,26,26,89463.97,36512.95,34912.95,0,0.0
State,02,Alaska,APC,5182,Level 2 Vascular Procedures,,,109,113,10445.44,1633.54,1296.52,0,
State,02,Alaska,APC,5183,Level 3 Vascular Procedures,,,488,514,25080.72,3309.5,2630.05,12,4881.51
State,02,Alaska,APC,5184,Level 4 Vascular Procedures,,,85,88,58423.31,5674.86,4517.06,0,
State,02,Alaska,APC,5191,Level 1 Endovascular Procedures,,,593,595,45976.81,3312.12,2324.17,59,4663.68
State,02,Alaska,APC,5192,Level 2 Endovascular Procedures,,,293,377,42524.85,5771.44,4587.68,21,6178.81
State,02,Alaska,APC,5193,Level 3 Endovascular Procedures,,,312,332,111602.18,11586.57,10011.81,78,3821.75
State,02,Alaska,APC,5194,Level 4 Endovascular Procedures,,,48,48,133516.16,18940.89,17336.41,0,
State,02,Alaska,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5212,Level 2 Electrophysiologic Procedures,,,18,18,51999.8,7397.77,5894.16,0,0.0
State,02,Alaska,APC,5213,Level 3 Electrophysiologic Procedures,,,289,295,158547.22,25645.98,24045.21,0,0.0
State,02,Alaska,APC,5222,Level 2 Pacemaker and Similar Procedures,,,26,26,41415.67,8988.97,7388.97,0,0.0
State,02,Alaska,APC,5223,Level 3 Pacemaker and Similar Procedures,,,82,82,55477.86,11323.8,9723.19,0,
State,02,Alaska,APC,5224,Level 4 Pacemaker and Similar Procedures,,,66,66,79469.87,20464.98,18861.55,0,0.0
State,02,Alaska,APC,5231,Level 1 ICD and Similar Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5232,Level 2 ICD and Similar Procedures,,,38,38,99479.13,35133.36,33533.36,0,0.0
State,02,Alaska,APC,5302,Level 2 Upper GI Procedures,,,283,311,15082.82,1940.51,1542.48,0,
State,02,Alaska,APC,5303,Level 3 Upper GI Procedures,,,31,31,30143.61,3437.25,2696.55,0,
State,02,Alaska,APC,5313,Level 3 Lower GI Procedures,,,40,42,22316.47,2837.43,2252.2,0,0.0
State,02,Alaska,APC,5331,Complex GI Procedures,,,32,35,41606.97,5816.78,4634.5,0,0.0
State,02,Alaska,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,150,154,25536.72,3945.97,3126.91,0,
State,02,Alaska,APC,5361,Level 1 Laparoscopy and Related Services,,,397,401,39847.11,5818.85,4615.32,0,
State,02,Alaska,APC,5362,Level 2 Laparoscopy and Related Services,,,237,239,62316.99,10045.46,8445.2,0,
State,02,Alaska,APC,5372,Level 2 Urology and Related Services,,,110,152,3142.56,731.46,579.75,0,0.0
State,02,Alaska,APC,5373,Level 3 Urology and Related Services,,,195,240,12039.44,2080.52,1652.54,0,0.0
State,02,Alaska,APC,5374,Level 4 Urology and Related Services,,,292,325,19332.43,3590.92,2855.45,0,
State,02,Alaska,APC,5375,Level 5 Urology and Related Services,,,304,325,27860.57,5276.26,4197.6,0,
State,02,Alaska,APC,5376,Level 6 Urology and Related Services,,,0,0,,,,0,
State,02,Alaska,APC,5378,Level 8 Urology and Related Services,,,0,0,,,,0,
State,02,Alaska,APC,5414,Level 4 Gynecologic Procedures,,,67,67,20848.57,3172.5,2519.64,0,
State,02,Alaska,APC,5415,Level 5 Gynecologic Procedures,,,51,51,29058.12,5082.7,4017.28,0,0.0
State,02,Alaska,APC,5416,Level 6 Gynecologic Procedures,,,21,21,29065.85,7815.28,6235.13,0,0.0
State,02,Alaska,APC,5431,Level 1 Nerve Procedures,,,120,132,13474.03,2054.66,1623.69,0,0.0
State,02,Alaska,APC,5432,Level 2 Nerve Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5461,Level 1 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5462,Level 2 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5464,Level 4 Neurostimulator and Related Procedures,,,16,16,72573.05,24098.8,22498.8,0,0.0
State,02,Alaska,APC,5465,Level 5 Neurostimulator and Related Procedures,,,39,40,164084.03,32364.65,30764.65,0,0.0
State,02,Alaska,APC,5471,Implantation of Drug Infusion Device,,,19,19,141650.28,18567.89,16967.19,0,0.0
