provider_ccn,provider_org_name,provider_street_address,provider_city,provider_state_abbreviation,provider_state_fips,provider_zip5,provider_ruca_code,provider_ruca_description,apc_code,apc_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,151,161,9496.28,1323.42,1047.59,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,49,56,17956.96,2261.11,1789.1,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,26,28,25027.74,3002.58,2374.43,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,26,26,37572.54,5342.79,4256.86,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5112,Level 2 Musculoskeletal Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5113,Level 3 Musculoskeletal Procedures,19,19,34571.14,2675.97,2132.07,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5114,Level 4 Musculoskeletal Procedures,70,71,53559.82,5879.81,4666.09,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5115,Level 5 Musculoskeletal Procedures,36,36,81548.1,11225.35,9625.35,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5116,Level 6 Musculoskeletal Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5153,Level 3 Airway Endoscopy,39,42,16045.99,1409.81,1117.71,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5154,Level 4 Airway Endoscopy,41,43,19523.91,2941.36,2332.24,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5155,Level 5 Airway Endoscopy,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5165,Level 5 ENT Procedures,12,13,44751.89,4800.27,3824.6,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5182,Level 2 Vascular Procedures,103,117,11432.11,1320.2,1046.44,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5183,Level 3 Vascular Procedures,125,136,23287.08,2658.39,2116.09,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5184,Level 4 Vascular Procedures,100,138,49834.46,4594.86,3654.19,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5191,Level 1 Endovascular Procedures,388,392,15442.16,2622.98,1828.72,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5192,Level 2 Endovascular Procedures,43,46,31786.78,4607.5,3646.81,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5193,Level 3 Endovascular Procedures,157,170,61902.01,9214.96,7608.4,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5194,Level 4 Endovascular Procedures,13,13,95982.59,15411.59,13811.59,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5212,Level 2 Electrophysiologic Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5213,Level 3 Electrophysiologic Procedures,53,55,111137.28,20003.16,18403.16,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5222,Level 2 Pacemaker and Similar Procedures,56,56,38859.82,7255.55,5764.04,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5223,Level 3 Pacemaker and Similar Procedures,119,119,52358.01,9279.63,7679.5,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5224,Level 4 Pacemaker and Similar Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5231,Level 1 ICD and Similar Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5232,Level 2 ICD and Similar Procedures,33,33,151188.88,27928.09,26328.09,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5302,Level 2 Upper GI Procedures,123,126,11300.83,1528.51,1208.36,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5303,Level 3 Upper GI Procedures,27,27,21742.66,2877.14,2286.73,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5313,Level 3 Lower GI Procedures,12,12,22384.49,2309.91,1840.41,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5331,Complex GI Procedures,17,17,37211.25,4711.42,3748.49,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5341,Abdominal/Peritoneal/Biliary and Related Procedures,54,54,33621.92,3139.88,2492.7,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5361,Level 1 Laparoscopy and Related Services,103,105,36399.37,4583.87,3631.51,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5362,Level 2 Laparoscopy and Related Services,27,27,88439.05,7924.86,6324.86,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5372,Level 2 Urology and Related Services,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5373,Level 3 Urology and Related Services,77,92,16944.96,1614.94,1272.23,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5374,Level 4 Urology and Related Services,158,179,28606.84,2848.77,2260.39,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5375,Level 5 Urology and Related Services,54,55,26802.16,4227.18,3368.0,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5376,Level 6 Urology and Related Services,13,13,39029.15,7693.07,6129.44,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5378,Level 8 Urology and Related Services,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5414,Level 4 Gynecologic Procedures,12,12,22728.0,2404.04,1872.34,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5415,Level 5 Gynecologic Procedures,12,12,42095.64,4166.89,3319.95,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5416,Level 6 Gynecologic Procedures,,,,,,,
