Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",14,663764.35714,120219.92857,115544.14286
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,26,180980.88462,37321.038462,35261.807692
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,12,105824.33333,26936.666667,25048.916667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,16,242539.5,34745.375,32438.625
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",038,EXTRACRANIAL PROCEDURES WITH CC,11,122741.18182,14999.818182,9579.3636364
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,36,97502.305556,8650.5555556,6603.9444444
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,15,37649.733333,8522.4666667,6913.6666667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,62,57328.33871,14155.064516,12187.580645
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,59,29571.050847,7746.4067797,5414.4237288
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,34,22861.676471,6334.8235294,4481.5294118
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,12,61524,15649.583333,14071
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,14,30469.285714,7549.8571429,5802.7857143
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",100,SEIZURES WITH MCC,15,102781.46667,19159.066667,13933.066667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",101,SEIZURES WITHOUT MCC,13,21045.307692,6999.5384615,5354.8461538
