Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2028,1531532.3373,332916.4857,281516.34517
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,49,605138.22449,142682.34694,112367.69388
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",10378,988234.81952,212347.98429,183920.23232
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",9109,580080.0999,123247.52377,107486.37578
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1214,791668.95058,156264.13921,123813.63097
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,279,427658.64516,70857.856631,46358.243728
National,,National,007,LUNG TRANSPLANT,578,1021394.5225,180804.52768,134987.80623
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,214,529589,87154.733645,58666.242991
National,,National,010,PANCREAS TRANSPLANT,19,532384.78947,104545.21053,55300.105263
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1688,260587.71979,58534.129739,48332.82346
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1536,218126.62695,46216.516276,36383.84375
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",323,134522.73684,30422.244582,23722.470588
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1230,601215.84228,148366.20407,119498.87317
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,1725,270096.6029,69564.38087,54944.686957
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,26,322136.19231,44670.153846,35137.346154
National,,National,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,1563,1983100.9341,439847.67115,416655.58285
National,,National,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,64,721198.09375,96467.3125,68660.9375
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,2386,392310.84409,94745.386421,81190.673512
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,648,249491.88272,66637.62037,56359.029321
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,326,152895.04908,38573.190184,34801.174847
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12753,261265.67247,54662.592566,46937.983376
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4979,175747.89375,36080.364531,30564.732677
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,22845,216784.92642,44448.624776,37272.641585
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,6398,155406.23382,30450.067521,24911.48437
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,7675,130899.78072,25542.939414,20276.943192
National,,National,028,SPINAL PROCEDURES WITH MCC,2303,279482.16848,58839.999566,48848.075119
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3131,159714.1482,33766.171511,26915.893644
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,880,105795.29886,22380.829545,17221.223864
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,902,190275.2561,40242.121951,33261.189579
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,2007,104644.56403,20395.989038,16583.752367
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2297,80950.359599,16221.877231,13505.141489
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1930,176346.83161,35205.17772,31357.598964
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,5576,105028.50986,19608.300933,16924.002511
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,8039,82027.855455,15754.078119,13227.83381
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,2548,161786.51766,31557.784929,27079.640502
