Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,Srvc_Lvl,APC_Cd,APC_Desc,HCPCS_Cd,HCPCS_Desc,Bene_Cnt,CAPC_Srvcs,Avg_Tot_Sbmtd_Chrgs,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Outlier_Srvcs,Avg_Mdcr_Outlier_Amt
National,,National,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,316770,334117,10679.628242442,1476.3803965078,1170.006942987,1246,5783.2769337079
National,,National,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,116917,130348,19660.375916009,2539.5493966152,2015.5937356154,2279,4981.0713879772
National,,National,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,49031,50944,25917.242973854,3440.5190226523,2732.315886071,760,4247.1104992105
National,,National,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,52080,52305,43370.740343371,5906.3158776408,4695.7856761304,2595,3765.3579864355
National,,National,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,4547,4670,65914.665047109,8801.5690471092,7205.6443982869,689,4897.2846034833
National,,National,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,2985,3076,107119.67864109,16571.775429129,14970.999379064,339,4077.9524973451
National,,National,APC,5112,Level 2 Musculoskeletal Procedures,,,76275,79810,11720.2195894,1398.3945147225,1106.1517836111,176,5504.0045136364
National,,National,APC,5113,Level 3 Musculoskeletal Procedures,,,114487,116931,22380.957146608,2870.3104425687,2273.1754539001,1293,4801.6487992266
National,,National,APC,5114,Level 4 Musculoskeletal Procedures,,,171951,174110,43414.344437022,6439.7140728849,5118.0724686118,5430,3825.5957066298
National,,National,APC,5115,Level 5 Musculoskeletal Procedures,,,414182,429097,71283.289236932,12720.943543604,11121.26749651,10583,2626.9301176793
National,,National,APC,5116,Level 6 Musculoskeletal Procedures,,,18851,19081,112448.69070908,20933.791311776,19333.434963052,807,4887.4273771995
National,,National,APC,5153,Level 3 Airway Endoscopy,,,33901,39342,12270.160582329,1566.9653032383,1243.0993696304,188,5742.5415510638
National,,National,APC,5154,Level 4 Airway Endoscopy,,,54075,57996,25194.297385165,3293.9675744879,2614.0604283054,1062,4359.2677161958
National,,National,APC,5155,Level 5 Airway Endoscopy,,,32446,32837,43285.228601578,6111.6335009288,4861.1765459695,1883,3673.3740118959
National,,National,APC,5163,Level 3 ENT Procedures,,,6832,8014,9264.1524631894,1323.6203381582,1047.0546356376,34,6961.4821705882
National,,National,APC,5164,Level 4 ENT Procedures,,,12896,13293,20908.310367863,2731.4867133078,2164.0956834424,205,5111.3153921951
National,,National,APC,5165,Level 5 ENT Procedures,,,36895,37233,38686.878324605,5277.8590462762,4189.9771350683,1952,4407.6924715164
National,,National,APC,5166,Cochlear Implant Procedure,,,4021,4083,129460.94509184,32337.401099682,30709.566931178,40,9032.41647
National,,National,APC,5182,Level 2 Vascular Procedures,,,63607,66834,9687.6394667385,1456.9648171589,1153.735334261,657,6680.0220155251
National,,National,APC,5183,Level 3 Vascular Procedures,,,177041,187143,20316.46425744,2924.0623363951,2319.9071796968,2282,5718.232306135
National,,National,APC,5184,Level 4 Vascular Procedures,,,50164,55061,38889.157593215,4856.5850251539,3854.0260153284,3119,5035.5262611734
National,,National,APC,5191,Level 1 Endovascular Procedures,,,288427,290031,27162.77885064,2901.0139328555,2028.5813264789,2192,4515.7009267336
National,,National,APC,5192,Level 2 Endovascular Procedures,,,62615,70846,35439.881719787,5159.2982684979,4094.0045182508,1782,4030.5356078563
National,,National,APC,5193,Level 3 Endovascular Procedures,,,134599,145147,75564.166099609,10359.39544324,8770.6902835746,13516,3028.5470879254
