Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,APC_Cd,APC_Desc,Bene_Cnt,CAPC_Srvcs,Avg_Tot_Sbmtd_Chrgs,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Outlier_Srvcs,Avg_Mdcr_Outlier_Amt
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,151,161,9496.2798136646,1323.4219254658,1047.5928571429,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,49,56,17956.955178571,2261.11125,1789.10125,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,26,28,25027.738214286,3002.5782142857,2374.4282142857,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,26,26,37572.539615385,5342.79,4256.86,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5112,Level 2 Musculoskeletal Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5113,Level 3 Musculoskeletal Procedures,19,19,34571.14368421,2675.97,2132.07,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5114,Level 4 Musculoskeletal Procedures,70,71,53559.820422535,5879.8122535211,4666.0892957746,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5115,Level 5 Musculoskeletal Procedures,36,36,81548.1025,11225.349444444,9625.3494444444,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5116,Level 6 Musculoskeletal Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5153,Level 3 Airway Endoscopy,39,42,16045.99,1409.8088095238,1117.7088095238,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5154,Level 4 Airway Endoscopy,41,43,19523.905813954,2941.3604651163,2332.2404651163,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5155,Level 5 Airway Endoscopy,,,,,,,
