source,name,city,wait_minutes,source_url,detail_url,raw_wait_text,scrape_ts
hospitalstats,Presence Saint Joseph Hospital - Chicago,Chicago,147,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/presence-saint-joseph-hospital--chicago-chicago-il.htm,2h 27m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Loretto Hospital,Chicago,174,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/loretto-hospital-chicago-il.htm,2h 54m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Thorek Memorial Hospital,Chicago,174,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/thorek-memorial-hospital-chicago-il.htm,2h 54m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Insight Hospital And Medical Center Chicago,Chicago,182,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/insight-hospital-and-medical-center-chicago-chicago-il.htm,3h 2m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Holy Cross Hospital,Chicago,182,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/holy-cross-hospital-chicago-il.htm,3h 2m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Jackson Park Hospital,Chicago,184,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/jackson-park-hospital-chicago-il.htm,3h 4m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Humboldt Park Health,Chicago,188,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/humboldt-park-health-chicago-il.htm,3h 8m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Provident Hospital Of Chicago,Chicago,195,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/provident-hospital-of-chicago-chicago-il.htm,3h 15m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Saint Anthony Hospital,Chicago,198,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/saint-anthony-hospital-chicago-il.htm,3h 18m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Methodist Hospital Of Chicago,Chicago,201,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/methodist-hospital-of-chicago-chicago-il.htm,3h 21m,2025-09-28T06:29:40.694043+00:00
hospitalstats,Mt Sinai Hospital Medical Center,Chicago,202,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/mt-sinai-hospital-medical-center-chicago-il.htm,3h 22m,2025-09-28T06:29:40.694043+00:00
