source,name,city,wait_minutes,source_url,detail_url,raw_wait_text,scrape_ts,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings
hospitalstats,Presence Saint Joseph Hospital - Chicago,Chicago,147.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/presence-saint-joseph-hospital--chicago-chicago-il.htm,2h 27m,2025-09-28T06:29:40.694043+00:00,Presence Saint Joseph Hospital - Chicago Ratings,2900 North Lake Shore Drive,Chicago,IL,60657,(773) 665-3000,Acute Care Hospitals,YES,8% better,8.0,better,11.9,13.1,9.9,17.2,5.0,1.0,147,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Loretto Hospital,Chicago,174.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/loretto-hospital-chicago-il.htm,2h 54m,2025-09-28T06:29:40.694043+00:00,Loretto Hospital Ratings,645 South Central Ave,Chicago,IL,60644,(773) 626-4300,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,174,POOR,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Rooms were often noisy at night
hospitalstats,Thorek Memorial Hospital,Chicago,174.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/thorek-memorial-hospital-chicago-il.htm,2h 54m,2025-09-28T06:29:40.694043+00:00,Thorek Memorial Hospital Ratings,850 W Irving Park Rd,Chicago,IL,60613,(773) 525-6780,Acute Care Hospitals,YES,18% better,18.0,better,,,,15.4,2.0,0.0,174,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it
hospitalstats,Insight Hospital And Medical Center Chicago,Chicago,182.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/insight-hospital-and-medical-center-chicago-chicago-il.htm,3h 2m,2025-09-28T06:29:40.694043+00:00,Insight Hospital And Medical Center Chicago Ratings,2525 S Michigan Ave,Chicago,IL,60616,(312) 567-2000,Acute Care Hospitals,YES,6% better,6.0,better,,13.2,10.9,17.4,0.0,0.0,182,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Holy Cross Hospital,Chicago,182.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/holy-cross-hospital-chicago-il.htm,3h 2m,2025-09-28T06:29:40.694043+00:00,Holy Cross Hospital Ratings,2701 W 68th Street,Chicago,IL,60629,(773) 884-9000,Acute Care Hospitals,YES,4% better,4.0,better,,13.9,9.8,18.5,6.0,1.0,182,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Jackson Park Hospital,Chicago,184.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/jackson-park-hospital-chicago-il.htm,3h 4m,2025-09-28T06:29:40.694043+00:00,Jackson Park Hospital Ratings,7531 S Stony Island Ave,Chicago,IL,60649,(773) 947-7500,Acute Care Hospitals,YES,17% better,17.0,better,,,10.1,,0.0,0.0,184,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Humboldt Park Health,Chicago,188.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/humboldt-park-health-chicago-il.htm,3h 8m,2025-09-28T06:29:40.694043+00:00,Humboldt Park Health Ratings,1044 N Francisco Ave,Chicago,IL,60622,(773) 292-8200,Acute Care Hospitals,YES,1% better,1.0,better,,,12.0,17.7,9.0,1.0,188,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Provident Hospital Of Chicago,Chicago,195.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/provident-hospital-of-chicago-chicago-il.htm,3h 15m,2025-09-28T06:29:40.694043+00:00,Provident Hospital Of Chicago Ratings,500 E 51st St,Chicago,IL,60615,(312) 572-2000,Acute Care Hospitals,YES,,,,,,,,2.0,0.0,195,POOR,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Saint Anthony Hospital,Chicago,198.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/saint-anthony-hospital-chicago-il.htm,3h 18m,2025-09-28T06:29:40.694043+00:00,Saint Anthony Hospital Ratings,2875 West 19th Street,Chicago,IL,60623,(773) 521-1710,Acute Care Hospitals,YES,4% better,4.0,better,,,11.4,,2.0,0.0,198,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Methodist Hospital Of Chicago,Chicago,201.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/methodist-hospital-of-chicago-chicago-il.htm,3h 21m,2025-09-28T06:29:40.694043+00:00,Methodist Hospital Of Chicago Ratings,5025 N Paulina Street,Chicago,IL,60640,(773) 271-9040,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,201,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty
