"Type","Name","Location Code","Hospital Designations","NPIs","Rm, Suite, or Apt","Street Address","Street Address 2","City","State","ZIP Code","County","Country","GPS","USNG","Phones",
"Hospital","Abraham Lincoln Memorial Hospital","0578","","","","200 Stahlhut Drive","","City of Lincoln","IL","62656","Logan County","US","40.153679,-89.389842","16TBK96454755","217-732-2161",
"Hospital","AMITA Health Adventist Medical Center GlenOaks","0239","","","","701 Winthrop Avenue","","Village of Glendale Heights","IL","60139","DuPage County","US","41.915066,-88.057171","16TDM12334088","630-545-8000",
"Hospital","AMITA Health Adventist Medical Center Hinsdale","0241","","","","120 North Oak Street","","Village of Hinsdale","IL","60521","DuPage County","US","41.805611,-87.920693","16TDM23512860","630-856-9000",
"Hospital","Adventist La Grange Memorial Hospital","0147","","","","5101 Willow Springs Road","","Village of La Grange","IL","60525","Cook County","US","41.796929,-87.885988","16TDM26392760","708-245-9000",
"Hospital","Carle BroMenn Medical Center","0615","","","","1304 Franklin Avenue","","Town of Normal","IL","61761","McLean County","US","40.497169,-88.991037","16TCK31278484","309-454-1400",
"Hospital","Advocate Christ Medical Center","0146","","","","4440 West 95th Street","","Village of Oak Lawn","IL","60453","Cook County","US","41.721808,-87.732618","16TDM39061914","708-684-8000",
"Hospital","Advocate Condell Medical Center","0507","","","","801 South Milwaukee Avenue","","Township of Libertyville","IL","60048","Lake County","US","42.273574,-87.955902","16TDM21178059","847-362-2900",
"Hospital","Carle Eureka Hospital","1067","","","","101 South Major Street","","City of Eureka","IL","61530","Woodford County","US","40.720853,-89.271368","16TCL08161025","309-467-2371",
"Hospital","Advocate Good Samaritan Hospital","0240","","","","3815 Highland Avenue","","Village of Downers Grove","IL","60515","DuPage County","US","41.819707,-88.008292","16TDM16253025","630-275-5900",
"Hospital","Advocate Good Shepherd Hospital","0508","","","","450 Illinois 22","","Township of Barrington","IL","60010","Cook County","US","42.195623,-88.173203","16TDM03137216","847-381-0123",
"Hospital","Advocate Illinois Masonic Medical Center","6032","","","","836 West Wellington Avenue","","City of Chicago","IL","60657","Cook County","US","41.936772,-87.651175","16TDM46014296","773-975-1600",
