state_abbr,county_name,hospital_name,city,wait_text,wait_minutes,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,source_url,scrape_ts,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu,lat,lon,full_address
AK,Anchorage,673rd Medical Group (Joint Base Elmendorf-Richardson),Jber,1h 53m,113.0,https://www.hospitalstats.org/hospital-ratings/673rd-medical-group-joint-base-elmendorf-richardson-jber-ak.htm,673rd Medical Group (Joint Base Elmendorf-Richardson) Ratings,673 Mdg 5955 Zeamer Ave,Jber,AK,99506.0,(907) 384-1110,Acute Care - Department of Defense,YES,,,,,,,,1.0,,113.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Anchorage-County-AK.htm,2025-10-18T16:58:32.063499+00:00,10,10,mortality not used,20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",,,"673 Mdg 5955 Zeamer Avenue, Jber, AK 99506"
AK,Kenai Peninsula,Providence Seward Hospital,Seward,2h 12m,132.0,https://www.hospitalstats.org/hospital-ratings/providence-seward-hospital-seward-ak.htm,Providence Seward Hospital Ratings,"417 First Avenue, Po Box 365",Seward,AK,99664.0,(907) 224-5205,Critical Access Hospitals,YES,,,,,,,,,,132.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Kenai-Peninsula-County-AK.htm,2025-10-18T16:58:42.886492+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"417 First Avenue, Seward, AK 99664"
AL,Baldwin,South Baldwin Regional Medical Center,Foley,2h 32m,152.0,https://www.hospitalstats.org/hospital-ratings/south-baldwin-regional-medical-center-foley-al.htm,South Baldwin Regional Medical Center Ratings,1613 North Mckenzie Street,Foley,AL,36535.0,(251) 949-3400,Acute Care Hospitals,YES,4% worse,4.0,worse,12.6,14.7,11.7,19.8,3.0,0.0,152.0,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Baldwin-County-AL.htm,2025-10-18T16:58:58.575237+00:00,10,7,4% worse (±0),17,15,15,15,14,,,"1613 North Mckenzie Street, Foley, AL 36535"
AL,Clarke,Grove Hill Memorial Hospital,Grove Hill,1h 54m,114.0,https://www.hospitalstats.org/hospital-ratings/grove-hill-memorial-hospital-grove-hill-al.htm,Grove Hill Memorial Hospital Ratings,295 Jackson Hwy S,Grove Hill,AL,36451.0,(251) 275-3191,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,114.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Clarke-County-AL.htm,2025-10-18T16:59:19.287870+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"295 Jackson Highway S, Grove Hill, AL 36451"
AL,Clay,Clay County Hospital,Ashland,1h 28m,88.0,https://www.hospitalstats.org/hospital-ratings/clay-county-hospital-ashland-al.htm,Clay County Hospital Ratings,83825 Highway 9 P O Box 1270,Ashland,AL,36251.0,(256) 354-2131,Acute Care Hospitals,YES,17% worse,17.0,worse,,,,21.9,0.0,0.0,88.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Clay-County-AL.htm,2025-10-18T16:59:21.184399+00:00,10,5,17% worse (±1),14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",10,,,"83825 Highway 9, Ashland, AL 36251"
AL,Colbert,North Alabama Shoals Hospital,Muscle Shoals,1h 51m,111.0,https://www.hospitalstats.org/hospital-ratings/north-alabama-shoals-hospital-muscle-shoals-al.htm,North Alabama Shoals Hospital Ratings,201 West Avalon Avenue,Muscle Shoals,AL,35661.0,(256) 386-1601,Acute Care Hospitals,YES,,,,,,,,0.0,2.0,111.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,https://www.hospitalstats.org/ER-Wait-Time/Colbert-County-AL.htm,2025-10-18T16:59:26.210078+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"201 West Avalon Avenue, Muscle Shoals, AL 35661"
AL,Conecuh,Evergreen Medical Center,Evergreen,2h 8m,128.0,https://www.hospitalstats.org/hospital-ratings/evergreen-medical-center-evergreen-al.htm,Evergreen Medical Center Ratings,101 Crestview Avenue,Evergreen,AL,36401.0,(251) 578-2480,Acute Care Hospitals,YES,9% worse,9.0,worse,,,14.5,18.4,0.0,0.0,128.0,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Conecuh-County-AL.htm,2025-10-18T16:59:28.134244+00:00,10,7,9% worse (±0),17,"no data for specific chief complaint, quality point remains at 17","no data for specific chief complaint, quality point remains at 17",15,14,,,"101 Crestview Avenue, Evergreen, AL 36401"
AL,Cullman,Cullman Regional Medical Center,Cullman,2h 30m,150.0,https://www.hospitalstats.org/hospital-ratings/cullman-regional-medical-center-cullman-al.htm,Cullman Regional Medical Center Ratings,1912 Alabama Highway 157,Cullman,AL,35058.0,(256) 737-2000,Acute Care Hospitals,YES,10% worse,10.0,worse,12.1,14.8,13.1,22.5,2.0,0.0,150.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Cullman-County-AL.htm,2025-10-18T16:59:34.859716+00:00,10,7,10% worse (±1),16,14,14,14,12,,,"1912 Alabama Highway 157, Cullman, AL 35058"
AL,Etowah,Riverview Regional Medical Center,Gadsden,2h 33m,153.0,https://www.hospitalstats.org/hospital-ratings/riverview-regional-medical-center-gadsden-al.htm,Riverview Regional Medical Center Ratings,600 South Third Street,Gadsden,AL,35901.0,(256) 543-5200,Acute Care Hospitals,YES,5% better,5.0,better,11.7,13.3,12.5,16.4,3.0,2.0,153.0,AVERAGE,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Etowah-County-AL.htm,2025-10-18T16:59:49.499318+00:00,10,7,5% better (±0),17,15,15,15,14,,,"600 South Third Street, Gadsden, AL 35901"
AL,Fayette,Northwest Medical Center,Winfield,2h 9m,129.0,https://www.hospitalstats.org/hospital-ratings/northwest-medical-center-winfield-al.htm,Northwest Medical Center Ratings,1530 U S Highway 43,Winfield,AL,35594.0,(205) 487-7736,Acute Care Hospitals,YES,20% worse,20.0,worse,,,13.2,24.2,1.0,0.0,129.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Fayette-County-AL.htm,2025-10-18T16:59:52.422349+00:00,10,7,20% worse (±1),16,"no data for specific chief complaint, quality point remains at 16","no data for specific chief complaint, quality point remains at 16",14,12,,,"1530 U S Highway 43, Winfield, AL 35594"
