Hospital_Name,Address,City,State,ZIP,Top_Procedures
Southeast Health Medical Center,AL,Dothan,1108 Ross Clark Circle,36301,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Marshall Medical Centers South Campus,AL,Boaz,2505 U S Highway 431 North,35957,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
North Alabama Medical Center,AL,Florence,1701 Veterans Drive,35630,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Mizell Memorial Hospital,AL,Opp,702 N Main St,36467,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Crenshaw Community Hospital,AL,Luverne,101 Hospital Circle,36049,Comprehensive Observation Services | Level 1 Nerve Procedures | Level 2 Musculoskeletal Procedures
St Vincent's East,AL,Birmingham,50 Medical Park East Drive,35235,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Dekalb Regional Medical Center,AL,Fort Payne,200 Med Center Drive,35968,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Shelby Baptist Medical Center,AL,Alabaster,1000 First Street North,35007,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Uab Callahan Eye Hospital Authority,AL,Birmingham,1720 University Blvd Ste 305,35233,Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
Helen Keller Memorial Hospital,AL,Sheffield,1300 South Montgomery Avenue,35660,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Dale Medical Center,AL,Ozark,126 Hospital Ave,36360,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Floyd Cherokee Medical Center,AL,Centre,400 Northwood Dr,35960,Comprehensive Observation Services
Baptist Medical Center South,AL,Montgomery,2105 East South Boulevard,36116,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Jackson Hospital & Clinic Inc,AL,Montgomery,1725 Pine Street,36106,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
East Alabama Medical Center,AL,Opelika,2000 Pepperell Parkway,36801,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
University Of Alabama Hospital,AL,Birmingham,619 South 19th Street,35233,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
Community Hospital Inc,AL,Tallassee,805 Friendship Road,36078,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Cullman Regional Medical Center,AL,Cullman,1912 Alabama Highway 157,35058,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Andalusia Health,AL,Andalusia,849 South Three Notch Street,36420,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Huntsville Hospital,AL,Huntsville,101 Sivley Rd,35801,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Gadsden Regional Medical Center,AL,Gadsden,1007 Goodyear Avenue,35903,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Marion Regional Medical Center,AL,Hamilton,1256 Military Street South,35570,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Fayette Medical Center,AL,Fayette,1653 Temple Avenue North,35555,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Riverview Regional Medical Center,AL,Gadsden,600 South Third Street,35901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Medical Center Enterprise,AL,Enterprise,400 N Edwards Street,36330,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Greene County Hospital,AL,Eutaw,509 Wilson Avenue,35462,Comprehensive Observation Services
