hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Adair County Memorial Hospital,adair county memorial hospital,https://www.hospitalstats.org/hospital-ratings/adair-county-memorial-hospital-greenfield-ia.htm,Adair County Memorial Hospital Ratings,609 Se Kent,Greenfield,IA,50849,(641) 743-2123,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,128.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Adair,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Chi Health - Mercy Corning,chi health - mercy corning,https://www.hospitalstats.org/hospital-ratings/chi-health--mercy-corning-corning-ia.htm,Chi Health - Mercy Corning Ratings,603 Rosary Drive,Corning,IA,50841,(641) 322-3121,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,132.0,POOR,Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Adams,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mercyone Centerville Medical Center,mercyone centerville medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-centerville-medical-center-centerville-ia.htm,Mercyone Centerville Medical Center Ratings,One St Joseph's Drive,Centerville,IA,52544,(641) 437-4111,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,142.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,IA,Appanoose,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Audubon County Memorial Hospital,audubon county memorial hospital,https://www.hospitalstats.org/hospital-ratings/audubon-county-memorial-hospital-audubon-ia.htm,Audubon County Memorial Hospital Ratings,515 Pacific Avenue,Audubon,IA,50025,(712) 563-2611,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,84.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Audubon,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Sartori Memorial Hospital,sartori memorial hospital,https://www.hospitalstats.org/hospital-ratings/sartori-memorial-hospital-cedar-falls-ia.htm,Sartori Memorial Hospital Ratings,515 College Street,Cedar Falls,IA,50613,(319) 268-3000,Acute Care Hospitals,YES,5% better,5.0,better,,,,17.4,1.0,0.0,112.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Black Hawk,wait time rating not available,10,5% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Allen Hospital,allen hospital,https://www.hospitalstats.org/hospital-ratings/allen-hospital-waterloo-ia.htm,Allen Hospital Ratings,1825 Logan Avenue,Waterloo,IA,50703,(319) 235-3941,Acute Care Hospitals,YES,6% worse,6.0,worse,12.0,12.7,15.6,19.9,9.0,1.0,138.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Black Hawk,wait time rating not available,10,6% worse (±0),10,8,8,7,7
Mercyone Waterloo Medical Center,mercyone waterloo medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-waterloo-medical-center-waterloo-ia.htm,Mercyone Waterloo Medical Center Ratings,3421 West Ninth Street,Waterloo,IA,50702,(319) 272-8000,Acute Care Hospitals,YES,11% worse,11.0,worse,12.9,13.0,14.0,23.4,17.0,2.0,219.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Black Hawk,wait time rating not available,7,11% worse (±1),6,4,4,4,2
Boone County Hospital,boone county hospital,https://www.hospitalstats.org/hospital-ratings/boone-county-hospital-boone-ia.htm,Boone County Hospital Ratings,1015 Union Street,Boone,IA,50036,(515) 432-3140,Critical Access Hospitals,YES,17% better,17.0,better,,,,15.5,0.0,0.0,107.0,POOR,Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Boone,wait time rating not available,5,17% better (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3
Waverly Health Center,waverly health center,https://www.hospitalstats.org/hospital-ratings/waverly-health-center-waverly-ia.htm,Waverly Health Center Ratings,312 9th Street Sw,Waverly,IA,50677,(319) 352-4120,Critical Access Hospitals,YES,8% worse,8.0,worse,,,11.7,20.8,0.0,0.0,144.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Bremer,wait time rating not available,10,8% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,6
Community Memorial Hospital Medical Center,community memorial hospital medical center,https://www.hospitalstats.org/hospital-ratings/community-memorial-hospital-medical-center-sumner-ia.htm,Community Memorial Hospital Medical Center Ratings,909 West First Street,Sumner,IA,50674,(563) 578-3275,Critical Access Hospitals,YES,,,,,,,,,,0.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Bremer,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
